X,Y,wmElementN,wmType,wmLatitude,wmLongitud,icon_url
-93.9882104161287,47.4572513247007,"41710660002",Transformer,47.45734786990,-93.98819732670,./0.png
-94.0532506146401,47.4410679460363,"70708530224",Transformer,47.44116210940,-94.05323791500,./0.png
-93.9137647687467,47.2639777136365,A1911624686,Transformer,47.26407241820,-93.91375732420,./0.png
-93.8955158549344,47.3717705010515,"51610365878",Transformer,47.37186431880,-93.89550781250,./0.png
-93.7854852547902,47.3699644568625,"51209412497",Transformer,47.37005996700,-93.78547668460,./0.png
-93.8332671205908,47.3270907574371,"51510115680",Transformer,47.32718658450,-93.83325958250,./0.png
-93.6929421740413,47.4091747388058,"51510115685",Transformer,47.40926742550,-93.69293212890,./0.png
-93.6926740277071,47.4099135223328,"41811009124",Transformer,47.41000747680,-93.69266510010,./0.png
-93.9312434784212,47.323816168745,"220070870",Transformer,47.32390975950,-93.93123626710,./0.png
-93.7273164023003,47.3734198196429,"51610351618",Transformer,47.37351608280,-93.72730255130,./0.png
-93.8805818057319,47.3672652054655,"31610307658",Transformer,47.36735916140,-93.88056945800,./0.png
-94.0197843350179,47.4357624667298,"2077263292",Transformer,47.43585586550,-94.01977539060,./0.png
-93.9336111279031,47.3224447610095,"31911384598",Transformer,47.32254028320,-93.93360137940,./0.png
-93.7840238255253,47.3539090383505,"11110123",Transformer,47.35400390630,-93.78401184080,./0.png
-94.0584340807383,47.4276792426933,76A284409,Transformer,47.42777252200,-94.05842590330,./0.png
-93.9355440997871,47.3213187318932,"21710612241",Transformer,47.32141494750,-93.93553161620,./0.png
-93.8158887871244,47.2521864671589,76A461346,Transformer,47.25228118900,-93.81587982180,./0.png
-93.789598891057,47.352405213253,"0128042",Transformer,47.35250091550,-93.78958892820,./0.png
-93.9331792474094,47.3201181000037,"82011977336",Transformer,47.32021331790,-93.93316650390,./0.png
-93.6831156666939,47.4118454383181,"91209483501",Transformer,47.41194152830,-93.68310546880,./0.png
-93.938493685368,47.3283845840151,"61610401387",Transformer,47.32847976680,-93.93848419190,./0.png
-93.9392516819992,47.325170590339,"11911300184",Transformer,47.32526397710,-93.93923950200,./0.png
-93.9263387382946,47.3724804973798,"51610351624",Transformer,47.37257385250,-93.92633056640,./0.png
-93.9141987652643,47.2522917367976,"61610401427",Transformer,47.25238418580,-93.91419219970,./0.png
