X,Y,wmElementN,wmType,wmDeviceTy,wmDevice_1,wmDevice_2,wmDevice_3,wmLightTab,wmLightT_1,wmLatitude,wmLongitud,icon_url
-93.8734000890973,47.3640399338338,54-3-25920-F1,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36413574220,-93.87339019780,./0.png
-93.8489094135841,47.3542803387094,54-3-25921-F1,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.35437393190,-93.84889984130,./0.png
-94.0399009328077,47.5012507276701,54-3-21436-F1,Device,Fuse,,,Fuse,12T,100 Amp Tube,47.50134658810,-94.03989410400,./0.png
-93.9385086863214,47.3283894684921,54-2-25835-F4,Device,Fuse,Fuse,,,12T,100 Amp Tube,47.32848358150,-93.93849945070,./0.png
-93.881638154517,47.3520253873323,54-2-25930-F1,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.35211944580,-93.88162994380,./0.png
-93.796316231503,47.3756775178676,54-4-25914-F2,Device,Fuse,,,Fuse,15T,100 Amp Tube,47.37577056880,-93.79630279540,./0.png
-93.9430417418908,47.3921714745507,54-3-25811-F1,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.39226531980,-93.94303131100,./0.png
-93.8263541341756,47.346136314148,54-3-25927-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.34622955320,-93.82634735110,./0.png
-93.8172251793867,47.3395689502069,54-3-25927-F2,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.33966445920,-93.81721496580,./0.png
-93.88249460434,47.3341730494642,54-2-25931-F2,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.33426666260,-93.88248443600,./0.png
-93.9442701332349,47.332045508391,54-2-25835-F5,Device,Fuse,,Fuse,,8T,100 Amp Tube,47.33213806150,-93.94425964360,./0.png
-93.9428347233732,47.3323822942963,54-2-25835-F6,Device,Fuse,,Fuse,,12T,100 Amp Tube,47.33247756960,-93.94282531740,./0.png
-93.8412209068784,47.3517507536151,54-3-25928-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.35184478760,-93.84120941160,./0.png
-93.7329934705289,47.3714109120529,54-4-23935-F8,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.37150573730,-93.73298645020,./0.png
-93.7258844137393,47.3714323378452,54-4-23936-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37152862550,-93.72587585450,./0.png
-93.8473939671364,47.3683507679965,54-4-25921-F3,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36844635010,-93.84738159180,./0.png
-93.8893981082874,47.3708588805204,54-3-25918-F3,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.37095260620,-93.88938903810,./0.png
-93.8532319122883,47.3564736857142,54-3-25921-F2,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.35656738280,-93.85322570800,./0.png
-93.8595212424922,47.3680273675811,54-4-25920-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36812210080,-93.85951232910,./0.png
-93.8181730851152,47.3686375325533,54-4-25915-F1,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.36873245240,-93.81816101070,./0.png
-93.940199095379,47.3296924416536,54-2-25835-F7,Device,Fuse,Fuse,,,12T,100 Amp Tube,47.32978820800,-93.94019317630,./0.png
-93.848229612528,47.3354870831174,54-1-25933-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.33558273320,-93.84822082520,./0.png
-93.9300828747305,47.3686137778296,54-3-25814-F1,Device,Fuse,Fuse,,,15T,100 Amp Tube,47.36870956420,-93.93007659910,./0.png
-93.90320247411,47.2522799714709,54-2-27936-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.25237274170,-93.90319061280,./0.png
-93.9374768128877,47.327321683758,54-2-25835-F8,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.32741546630,-93.93746948240,./0.png
-93.999178614489,47.4170622228678,54-3-23732-F2,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.41715621950,-93.99916839600,./0.png
-93.9357336863474,47.3249179085992,54-2-25835-F9,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.32501220700,-93.93572235110,./0.png
-93.9390342958457,47.3170039022759,54-2-27902-F3,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.31709671020,-93.93902587890,./0.png
-93.7895953292284,47.3531622804757,54-4-25925-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.35325622560,-93.78958129880,./0.png
-93.942093506875,47.3916738183333,54-3-25811-F2,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.39176940920,-93.94208526610,./0.png
-93.9969481805442,47.4151193537009,54-3-23732-F3,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.41521453860,-93.99694061280,./0.png
-93.7516076106325,47.3714232633269,54-4-23935-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37151718140,-93.75159454350,./0.png
-93.9603221809044,47.3986627594835,54-3-25803-F2,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.39875793460,-93.96031188960,./0.png
-93.8375213163777,47.3686506585373,54-4-25915-F2,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.36874389650,-93.83750915530,./0.png
-93.7377573050222,47.3713849865256,54-4-23935-F13,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.37147903440,-93.73774719240,./0.png
-93.9396382464831,47.3912823214489,54-3-25811-F3,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.39137649540,-93.93962860110,./0.png
-93.9360920272117,47.3228387215056,54-2-27902-F4,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.32293319700,-93.93608093260,./0.png
-93.7679712343099,47.3715202642503,54-4-23934-F6,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.37161636350,-93.76795959470,./0.png
-93.7801762743973,47.3681405740091,54-4-25913-F6,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.36823654170,-93.78016662600,./0.png
-93.9516883772869,47.3359918617969,54-2-25834-F1,Device,Fuse,Fuse,,,12T,100 Amp Tube,47.33608627320,-93.95167541500,./0.png
-93.795676695893,47.3876702130538,54-4-25911-F4,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.38776397710,-93.79566955570,./0.png
-93.7091726212108,47.3835497354863,54-4-24031-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.38364410400,-93.70915985110,./0.png
-93.9426885096908,47.3924676024361,54-3-25811-F4,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.39256286620,-93.94268035890,./0.png
-93.9877399990011,47.4496586895438,54-3-23721-F2,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.44975280760,-93.98773193360,./0.png
-93.8332395945959,47.3483897979403,54-3-25927-F3,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.34848403930,-93.83322906490,./0.png
-93.6931710037961,47.407450390411,54-4-24019-F2,Device,Fuse,,Fuse,,10T,100 Amp Tube,47.40754318240,-93.69316101070,./0.png
-93.8308424656279,47.3682565429131,54-4-25922-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36835098270,-93.83083343510,./0.png
-93.8484350761793,47.369367957439,54-4-25916-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36946105960,-93.84842681880,./0.png
-93.9778291789346,47.4338050066934,54-3-23728-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.43389892580,-93.97782135010,./0.png
-93.8809206665774,47.3493567135402,54-2-25929-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.34945297240,-93.88091278080,./0.png
-93.7214545624073,47.3714798990971,54-4-23936-F2,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37157440190,-93.72144317630,./0.png
-93.8946982701622,47.372851813408,54-3-25918-F4,Device,Fuse,,Fuse,Fuse,25T,100 Amp Tube,47.37294769290,-93.89469146730,./0.png
-93.8305986039205,47.3684650606253,54-4-25915-F3,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.36856079100,-93.83058929440,./0.png
-93.8816663297999,47.3399079325535,54-2-25930-F2,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.34000396730,-93.88165283200,./0.png
-93.7095656476314,47.3786127021792,54-4-23936-F3,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.37870788570,-93.70955657960,./0.png
-93.7386024493353,47.3713964220783,54-4-23935-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.37149047850,-93.73859405520,./0.png
-93.9474000052209,47.3931496283712,54-3-25810-F2,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.39324569700,-93.94738769530,./0.png
-93.8721714422233,47.3682986888581,54-4-25920-F3,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.36839294430,-93.87216186520,./0.png
-93.9853779578365,47.3835607291052,54-2-25809-F1,Device,Fuse,,Fuse,,12T,100 Amp Tube,47.38365554810,-93.98536682130,./0.png
-93.7501055853666,47.3714173743159,54-4-23935-F11,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.37151336670,-93.75009155270,./0.png
-93.7670210164081,47.3715104811129,54-4-23934-F7,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.37160491940,-93.76701354980,./0.png
-93.8994303690684,47.329334603964,54-2-25931-F3,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.32942962650,-93.89942169190,./0.png
-93.7198740196935,47.3932988377434,54-4-23925-F2,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.39339447020,-93.71986389160,./0.png
-93.9565732377923,47.3977478958965,54-3-25803-F3,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.39784240720,-93.95656585690,./0.png
-93.7392504468949,47.3714042839427,54-4-23935-F3,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37149810790,-93.73924255370,./0.png
-93.789471311197,47.368142562371,54-4-25913-F5,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36823654170,-93.78945922850,./0.png
-93.9974918865439,47.4156045883443,54-3-23732-F4,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.41569900510,-93.99748229980,./0.png
-93.945753032665,47.3933740072658,54-3-25810-F3,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.39346694950,-93.94573974610,./0.png
-93.9361524109831,47.3235110819847,54-2-27902-F5,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.32360458370,-93.93614196780,./0.png
-93.9361348715947,47.325821582603,54-2-25835-F10,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.32591629030,-93.93612670900,./0.png
-93.9369727009386,47.2775766604326,54-2-27923-F1,Device,Fuse,,,Fuse,12T,100 Amp Tube,47.27767181400,-93.93696594240,./0.png
-93.8803837505674,47.3897319637566,54-3-25908-F1,Device,Fuse,,Fuse,,25T,100 Amp Tube,47.38982772830,-93.88037109380,./0.png
-93.7952057385056,47.3681218924626,54-4-25914-F3,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36821746830,-93.79519653320,./0.png
-93.8322356235559,47.368413462719,54-4-25915-F4,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.36850738530,-93.83222198490,./0.png
-93.8461154558328,47.368324375496,54-4-25921-F4,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36841964720,-93.84610748290,./0.png
-94.0405858487527,47.431089073362,54-3-23625-F1,Device,Fuse,,,Fuse,12T,100 Amp Tube,47.43118286130,-94.04057312010,./0.png
-93.8811752528078,47.3343371430086,54-2-25931-F4,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.33443069460,-93.88116455080,./0.png
-94.1352395078957,47.4316927786375,54-3-23629-F1,Device,Fuse,,,Fuse,10T,100 Amp Tube,47.43178558350,-94.13523101810,./0.png
-93.7438694293676,47.3714045387938,54-4-23935-F10,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.37149810790,-93.74385833740,./0.png
-93.9982847968396,47.4155800237484,54-3-23732-F5,Device,Fuse,,Fuse,,25T,100 Amp Tube,47.41567611690,-93.99827575680,./0.png
-93.7127513247802,47.3894325836553,54-4-23925-F3,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.38952636720,-93.71273803710,./0.png
-93.7732833707697,47.4099094766443,54-4-23922-F1,Device,Fuse,,,Fuse,15T,100 Amp Tube,47.41000366210,-93.77326965330,./0.png
